speaker	speech	speaker_std
Background	 Departamento de Transcripciones CONGRESO DE LA REPÚBLICA SEGUNDA LEGISLATURA DE 2000 TRANSCRIPCIÓN DE LOS AUDIOS Núms. 859 Y 860 (Los Audios Núms. 859 y 860 tienen el mismo contenido, y son continuación de los Audios Núms. 858 y 861) ‘‘SR. LUCCHETTI Y DR. - ALMUERZO’’ DEL 10 DE DICIEMBRE DE 1998	BACKGROUNDUNIDENTIFIED
El señor MONTESINOS TORRES.—	 Es un, es como vamos a hacer, esto es una maniobra, la acción principal le va a dar el triunfo.	MONTESINOS
El representante de LUCCHETTI.—	 Correcto.	LUCCHETTI
El señor MONTESINOS TORRES.—	 Pero, la acción de cumplimiento, esto es simplemente una medida de reforzamiento subsidiaria para en el caso de que este triunfo no lo sea contundente y yo pueda tener un elemento de presión, pero si con esto soy lo suficientemente fuerte como decía este inglés, hay que seguir; no tiene que ser sangrienta, sino ...	MONTESINOS
Background	—Se inicia el Audio  N.° 859	BACKGROUNDUNIDENTIFIED
El representante de LUCCHETTI.—	 En todo caso saco las  (?) me largo a construir y el que entre llame  a la fuerza pública y los saque.	LUCCHETTI
El señor MONTESINOS TORRES.—	 El 20 del próximo mes ustedes empiezan la construcción.	MONTESINOS
El señor representante de LUCCHETTI.—	 Lo que yo necesito. Claro, pero que esto carajo me tienen que dar la habilitación urbana definitiva.	LUCCHETTI
El señor MONTESINOS TORRES.—	 Claro, pero, ya  arrancado el asunto de la construcción está garantizado por el Poder Judicial para poder continuar con el asunto de la construcción.	MONTESINOS
El representante de LUCCHETTI.—	 Yo no quiero que a la vuelta de los años este flaqueando que me faltó la habilitación	LUCCHETTI
El señor MONTESINOS TORRES.—	 No. Entonces, ahí viene el asunto cumpliendo, vienen para eso, pero tan ...	MONTESINOS
El representante de LUCCHETTI.—	 El juez puede dar la habilitación urbana definitiva aun si se niega la Municipalidad.	LUCCHETTI
El señor MONTESINOS TORRES.—	 Lógico, pero tiene usted una ventaja que ya tiene un amparo que el juez ha determinado en resolución judicial firme de que sí tienen el derecho y eso le sirve al otro juez decir que estando firme y consentido el atropello; entonces el juez asume la autoridad administrativa y otorga la ...	MONTESINOS
"El representante de LUCCHETTI	.—"	 Habilitación urbana ...	LUCCHETTI
El señor MONTESINOS TORRES.—	 Por eso le digo que ésta es una medida	MONTESINOS
El representante de LUCCHETTI.—	 Juez igual.	LUCCHETTI
El señor MONTESINOS TORRES.—	 Juez igual. No, el juez, eso ya lo hemos además va la fuerza pública y ponemos la policía y este no se mete, se va a chupar.	MONTESINOS
El representante de LUCCHETTI.—	 Pero hay que darle la ...	LUCCHETTI
El señor MONTESINOS TORRES.—	 Tenemos que destruirlo.	MONTESINOS
El representante de LUCCHETTI.—	 Hay que sacarlo del escenario político.	LUCCHETTI
El señor MONTESINOS TORRES.—	 Totalmente. Sí, sí, aquí tenemos que irnos ...	MONTESINOS
El representante de LUCCHETTI.—	 Y  que no pueda ser Alcalde de Lima.	LUCCHETTI
El señor MONTESINOS TORRES.—	 Felizmente ha salido Kouri, pero de Kouri tampoco no hay que tirarse mucho porque.	MONTESINOS
El representante de LUCCHETTI.—	 Sí porque hace unas declaraciones que ...	LUCCHETTI
El señor MONTESINOS TORRES.—	 Este es un tipo muy zigzagueante; o sea, ese es un muchacho que quiere jugar a la política y aparentar ser un independiente, pero en el fondo trata de conciliar con Dios y con el diablo y así no se puede ser porque en política usted no puede estar aquí y acá. O Tiene usted una línea de posición firme y por eso he recordado siempre la frase del general  de Pinochet, ”mi hijito, en política hay objetivos, yo me trazo la línea y sigo; lo que está fuera de la línea no me sirve ni para la derecha ni para la izquierda; lo que está en la línea es lo único”; o sea, yo no puedo estar zigzagueando para acá o para allá o estoy en la línea o no estoy y eso es claro. Esa es la ...	MONTESINOS
"El representante de LUCCHETTI	.—"	 ¿Porque esto Andrade no ha llevado?	LUCCHETTI
El señor MONTESINOS TORRES.—	 No, este tipo es un tipo que va así; entonces,  usted no puede, ¿ah?	MONTESINOS
El representante de LUCCHETTI.—	 ¿Quién otro se le pondrá de un (?)	LUCCHETTI
El señor MONTESINOS TORRES.—	 Bueno, este ...	MONTESINOS
"El representante de LUCCHETTI	.—"	 ¿Kouri es mejor que Andrade?	LUCCHETTI
El señor MONTESINOS TORRES.—	 Ah no, evidentemente, entre 2 males hay que buscar el menor.	MONTESINOS
El representante de LUCCHETTI.—	 Ojalá que lo elijan.	LUCCHETTI
